"sep=,"
"time", "wallTime", "Car.color", "Light.color"
0.795, 0.065945997, 2, 2
0.795, 0.066008257, 2, 2
0.8, 0.066345272, 2, 2
0.8, 0.066402849, 2, 2
0.805, 0.066739493, 2, 2
0.805, 0.066800513, 2, 2
0.81, 0.067136352, 2, 2
0.81, 0.067193942, 2, 2
0.815, 0.067529359, 2, 2
0.815, 0.06759064, 2, 2
0.82, 0.067926855, 2, 2
0.82, 0.067984338, 2, 2
0.825, 0.068325338, 2, 2
0.825, 0.068387035, 2, 2
0.83, 0.06872364, 2, 2
0.83, 0.068780779, 2, 2
0.835, 0.069117937, 2, 2
0.835, 0.069179321, 2, 2
0.84, 0.069549038, 2, 2
0.84, 0.069606852, 2, 2
0.845, 0.069943232, 2, 2
0.845, 0.070004533, 2, 2
0.85, 0.070341674, 2, 2
0.85, 0.07039927, 2, 2
0.855, 0.070736538, 2, 2
0.855, 0.070798031, 2, 2
0.86, 0.071134428, 2, 2
0.86, 0.071191984, 2, 2
0.865, 0.071530876, 2, 2
0.865, 0.071589364, 2, 2
0.87, 0.07192607, 2, 2
0.87, 0.071983777, 2, 2
0.875, 0.072329551, 2, 2
0.875, 0.072387712, 2, 2
0.88, 0.072724844, 2, 2
0.88, 0.072782284, 2, 2
0.885, 0.073122438, 2, 2
0.885, 0.073180325, 2, 2
0.89, 0.07351932, 2, 2
0.89, 0.073576803, 2, 2
0.895, 0.073915677, 2, 2
0.895, 0.073973536, 2, 2
0.9, 0.074310071, 2, 2
0.9, 0.07436744, 2, 2
0.905, 0.074705353, 2, 2
0.905, 0.074763145, 2, 2
0.91, 0.075098803, 2, 2
0.91, 0.075156255, 2, 2
0.915, 0.075494369, 2, 2
0.915, 0.07555218, 2, 2
0.92, 0.075887678, 2, 2
0.92, 0.075945012, 2, 2
0.925, 0.076289388, 2, 2
0.925, 0.076347449, 2, 2
0.93, 0.076683547, 2, 2
0.93, 0.07674103, 2, 2
0.935, 0.077078494, 2, 2
0.935, 0.077136062, 2, 2
0.94, 0.077470306, 2, 2
0.94, 0.077527875, 2, 2
0.945, 0.077865294, 2, 2
0.945, 0.077922974, 2, 2
0.95, 0.078257212, 2, 2
0.95, 0.078314528, 2, 2
0.955, 0.078652739, 2, 2
0.955, 0.078709995, 2, 2
0.96, 0.079044335, 2, 2
0.96, 0.079101547, 2, 2
0.965, 0.079439124, 2, 2
0.965, 0.079496742, 2, 2
0.97, 0.079834244, 2, 2
0.97, 0.079891952, 2, 2
0.975, 0.080245528, 2, 2
0.975, 0.080307764, 2, 2
0.98, 0.080644256, 2, 2
0.98, 0.080701779, 2, 2
0.985, 0.081040547, 2, 2
0.985, 0.081098302, 2, 2
0.99, 0.081434529, 2, 2
0.99, 0.081492103, 2, 2
0.995, 0.081834549, 2, 2
0.995, 0.081892426, 2, 2
1, 0.082227804, 2, 2
1, 0.082285493, 2, 2
1.005, 0.082758775, 2, 3
1.005, 0.08281628, 3, 3
1.01, 0.083183, 3, 3
1.01, 0.083240664, 3, 3
1.015, 0.083577035, 3, 3
1.015, 0.083638413, 3, 3
1.02, 0.083973862, 3, 3
1.02, 0.084031288, 3, 3
1.025, 0.084372167, 3, 3
1.025, 0.084433539, 3, 3
1.03, 0.084769091, 3, 3
1.03, 0.084826703, 3, 3
1.035, 0.085161836, 3, 3
1.035, 0.085222697, 3, 3
1.04, 0.085557522, 3, 3
1.04, 0.085614983, 3, 3
1.045, 0.085948984, 3, 3
1.045, 0.086010395, 3, 3
1.05, 0.086346501, 3, 3
1.05, 0.086404158, 3, 3
1.055, 0.086739541, 3, 3
1.055, 0.086800784, 3, 3
1.06, 0.087136512, 3, 3
1.06, 0.087194579, 3, 3
1.065, 0.08752975, 3, 3
1.065, 0.087590659, 3, 3
1.07, 0.087924512, 3, 3
1.07, 0.087982051, 3, 3
1.075, 0.088321801, 3, 3
1.075, 0.088382761, 3, 3
1.08, 0.088718078, 3, 3
1.08, 0.088775651, 3, 3
1.085, 0.089114911, 3, 3
1.085, 0.08917615, 3, 3
1.09, 0.089510251, 3, 3
1.09, 0.089567407, 3, 3
1.095, 0.089907285, 3, 3
1.095, 0.08996543, 3, 3
1.1, 0.090299368, 3, 3
1.1, 0.090356909, 3, 3
1.105, 0.090694583, 3, 3
1.105, 0.090752677, 3, 3
1.11, 0.091086121, 3, 3
1.11, 0.091143472, 3, 3
1.115, 0.091480638, 3, 3
1.115, 0.091538492, 3, 3
1.12, 0.09187269, 3, 3
1.12, 0.091930204, 3, 3
1.125, 0.092272221, 3, 3
1.125, 0.092330549, 3, 3
1.13, 0.092666071, 3, 3
1.13, 0.092723559, 3, 3
1.135, 0.093060323, 3, 3
1.135, 0.093118195, 3, 3
1.14, 0.093453435, 3, 3
1.14, 0.093511058, 3, 3
1.145, 0.093848782, 3, 3
1.145, 0.09390672, 3, 3
1.15, 0.094241373, 3, 3
1.15, 0.094298811, 3, 3
1.155, 0.09463759, 3, 3
1.155, 0.094695545, 3, 3
1.16, 0.095055046, 3, 3
1.16, 0.095112408, 3, 3
1.165, 0.095449823, 3, 3
1.165, 0.095507812, 3, 3
1.17, 0.095843427, 3, 3
1.17, 0.095901268, 3, 3
1.175, 0.096242293, 3, 3
1.175, 0.096300621, 3, 3
1.18, 0.096637473, 3, 3
1.18, 0.096694895, 3, 3
1.185, 0.097032113, 3, 3
1.185, 0.097089647, 3, 3
1.19, 0.097424891, 3, 3
1.19, 0.097482597, 3, 3
1.195, 0.097822948, 3, 3
1.195, 0.097880547, 3, 3
1.2, 0.098217091, 3, 3
1.2, 0.098274917, 3, 3
1.205, 0.098613661, 3, 3
1.205, 0.098671115, 3, 3
1.21, 0.099005977, 3, 3
1.21, 0.09906338, 3, 3
1.215, 0.099401031, 3, 3
1.215, 0.099458368, 3, 3
1.22, 0.099793295, 3, 3
1.22, 0.099850752, 3, 3
1.225, 0.100188937, 3, 3
1.225, 0.100251106, 3, 3
1.23, 0.100586184, 3, 3
1.23, 0.100643384, 3, 3
1.235, 0.100982338, 3, 3
1.235, 0.101039909, 3, 3
1.24, 0.101375138, 3, 3
1.24, 0.101432838, 3, 3
1.245, 0.101773256, 3, 3
1.245, 0.101830681, 3, 3
1.25, 0.102165498, 3, 3
1.25, 0.10222321, 3, 3
1.255, 0.102561179, 3, 3
1.255, 0.102618924, 3, 3
1.26, 0.102984657, 3, 3
1.26, 0.103041977, 3, 3
1.265, 0.1033851, 3, 3
1.265, 0.103442891, 3, 3
1.27, 0.103778892, 3, 3
1.27, 0.103836308, 3, 3
1.275, 0.104174011, 3, 3
1.275, 0.104236241, 3, 3
1.28, 0.104571042, 3, 3
1.28, 0.104631162, 3, 3
1.285, 0.10496791, 3, 3
1.285, 0.105025328, 3, 3
1.29, 0.105362094, 3, 3
1.29, 0.105422236, 3, 3
1.295, 0.105761323, 3, 3
1.295, 0.105818928, 3, 3
1.3, 0.106153475, 3, 3
1.3, 0.106214097, 3, 3
1.305, 0.106555494, 3, 3
1.305, 0.106613244, 3, 3
1.31, 0.106947754, 3, 3
1.31, 0.107008567, 3, 3
1.315, 0.107343625, 3, 3
1.315, 0.107401267, 3, 3
1.32, 0.107735904, 3, 3
1.32, 0.107796462, 3, 3
1.325, 0.108152271, 3, 3
1.325, 0.108212746, 3, 3
1.33, 0.108549688, 3, 3
1.33, 0.108610598, 3, 3
1.335, 0.108946815, 3, 3
1.335, 0.109004619, 3, 3
