"time","wallTime","wc2.P.x [m]","wc2.P.v [m/s]","wc2.P.F [N]","wc1.P.x [m]","wc1.P.v [m/s]","wc1.P.F [N]"
0.0151,4.66992,0,0,0,0,0,0
0.0152,4.66994,0,0,0,0,0,0
0.0153,4.66996,0,0,0,0,0,0
0.0154,4.66999,0,0,0,0,0,0
0.0155,4.67001,0,0,0,0,0,0
0.0156,4.67008,0,0,0,0,0,0
0.0157,4.67009,0,0,0,0,0,0
0.0158,4.6701,0,0,0,0,0,0
0.0159,4.67012,0,0,0,0,0,0
0.016,4.67013,0,0,0,0,0,0
0.0161,4.67018,0,0,0,0,0,0
0.0162,4.67019,0,0,0,0,0,0
0.0163,4.6702,0,0,0,0,0,0
0.0164,4.67022,0,0,0,0,0,0
0.0165,4.67023,0,0,0,0,0,0
0.0166,4.67027,0,0,0,0,0,0
0.0167,4.67028,0,0,0,0,0,0
0.0168,4.67029,0,0,0,0,0,0
0.0169,4.6703,0,0,0,0,0,0
0.017,4.67032,0,0,0,0,0,0
0.0171,4.67035,0,0,0,0,0,0
0.0172,4.67037,0,0,0,0,0,0
0.0173,4.67038,0,0,0,0,0,0
0.0174,4.67039,0,0,0,0,0,0
0.0175,4.67041,0,0,0,0,0,0
0.0176,4.67044,0,0,0,0,0,0
0.0177,4.67046,0,0,0,0,0,0
0.0178,4.67047,0,0,0,0,0,0
0.0179,4.67048,0,0,0,0,0,0
0.018,4.67049,0,0,0,0,0,0
0.0181,4.67054,0,0,0,0,0,0
0.0182,4.67055,0,0,0,0,0,0
0.0183,4.67056,0,0,0,0,0,0
0.0184,4.67057,0,0,0,0,0,0
0.0185,4.67059,0,0,0,0,0,0
0.0186,4.67063,0,0,0,0,0,0
0.0187,4.67065,0,0,0,0,0,0
0.0188,4.67066,0,0,0,0,0,0
0.0189,4.67068,0,0,0,0,0,0
0.019,4.67069,0,0,0,0,0,0
0.0191,4.67073,0,0,0,0,0,0
0.0192,4.67075,0,0,0,0,0,0
0.0193,4.67076,0,0,0,0,0,0
0.0194,4.67078,0,0,0,0,0,0
0.0195,4.67079,0,0,0,0,0,0
0.0196,4.67083,0,0,0,0,0,0
0.0197,4.67084,0,0,0,0,0,0
0.0198,4.67085,0,0,0,0,0,0
0.0199,4.67086,0,0,0,0,0,0
0.02,4.67088,0,0,0,0,0,0
0.0201,4.67092,0,0,0,0,0,0
