"time","wallTime","wc2.out","wc1.out"
0.036,1.61496,0.306572,0.4196
0.0361,1.61496,0.309326,0.420851
0.0362,1.61496,0.31208,0.422102
0.0363,1.61496,0.314834,0.423352
0.0364,1.61496,0.317589,0.424603
0.0365,1.61497,0.320343,0.425853
0.0366,1.61497,0.323097,0.427104
0.0367,1.61497,0.325851,0.428354
0.0368,1.61497,0.328605,0.429605
0.0369,1.61497,0.331359,0.430855
0.037,1.61497,0.334113,0.432106
0.0371,1.61497,0.336867,0.433356
0.0372,1.61497,0.339621,0.434607
0.0373,1.61497,0.342376,0.435857
0.0374,1.61497,0.34513,0.437108
0.0375,1.61497,0.347884,0.438358
0.0376,1.61497,0.350638,0.439609
0.0377,1.61497,0.353392,0.440859
0.0378,1.61497,0.356146,0.44211
0.0379,1.61498,0.3589,0.44336
0.038,1.61498,0.361654,0.444611
0.0381,1.61498,0.364408,0.445861
0.0382,1.61498,0.367163,0.447112
0.0383,1.61498,0.369917,0.448362
0.0384,1.61498,0.372671,0.449613
0.0385,1.61498,0.375425,0.450863
0.0386,1.61498,0.378179,0.452114
0.0387,1.61498,0.380933,0.453364
0.0388,1.61498,0.383687,0.454615
0.0389,1.61498,0.386441,0.455865
0.039,1.61498,0.389195,0.457116
0.0391,1.61498,0.39195,0.458366
0.0392,1.61498,0.394704,0.459617
0.0393,1.61499,0.397458,0.460867
0.0394,1.61499,0.400212,0.462118
0.0395,1.61499,0.402966,0.463368
0.0396,1.61499,0.40572,0.464619
0.0397,1.61499,0.408474,0.465869
0.0398,1.61499,0.411228,0.46712
0.0399,1.61499,0.413982,0.46837
0.04,1.61499,0.416737,0.469621
0.0401,1.615,0.419448,0.470824
0.0402,1.615,0.422159,0.472027
0.0403,1.615,0.42487,0.47323
0.0404,1.615,0.427581,0.474433
0.0405,1.615,0.430292,0.475636
0.0406,1.615,0.433003,0.476839
0.0407,1.615,0.435714,0.478042
0.0408,1.615,0.438425,0.479245
0.0409,1.615,0.441136,0.480448
0.041,1.615,0.443847,0.481651
0.0411,1.615,0.446558,0.482854
0.0412,1.615,0.449269,0.484058
0.0413,1.615,0.45198,0.485261
0.0414,1.61501,0.454691,0.486464
0.0415,1.61501,0.457402,0.487667
0.0416,1.61501,0.460113,0.48887
0.0417,1.61501,0.462824,0.490073
0.0418,1.61501,0.465535,0.491276
0.0419,1.61501,0.468246,0.492479
0.042,1.61501,0.470957,0.493682
0.0421,1.61501,0.473668,0.494885
0.0422,1.61501,0.476379,0.496088
0.0423,1.61501,0.47909,0.497291
0.0424,1.61501,0.481801,0.498494
0.0425,1.61501,0.484512,0.499697
0.0426,1.61501,0.487223,0.5009
0.0427,1.61501,0.489934,0.502103
0.0428,1.61502,0.492645,0.503306
0.0429,1.61502,0.495356,0.504509
0.043,1.61502,0.498067,0.505712
0.0431,1.61502,0.500778,0.506915
0.0432,1.61502,0.503489,0.508119
0.0433,1.61502,0.5062,0.509322
0.0434,1.61502,0.508911,0.510525
0.0435,1.61502,0.511622,0.511728
0.0436,1.61502,0.514333,0.512931
0.0437,1.61502,0.517044,0.514134
0.0438,1.61502,0.519755,0.515337
0.0439,1.61502,0.522466,0.51654
0.044,1.61502,0.525177,0.517743
0.0441,1.61502,0.527888,0.518946
0.0442,1.61503,0.530599,0.520149
0.0443,1.61503,0.53331,0.521352
0.0444,1.61503,0.536021,0.522555
0.0445,1.61503,0.538732,0.523758
0.0446,1.61503,0.541443,0.524961
0.0447,1.61503,0.544154,0.526164
0.0448,1.61503,0.546865,0.527367
0.0449,1.61503,0.549576,0.52857
0.045,1.61503,0.552287,0.529773
0.0451,1.61504,0.554942,0.530923
0.0452,1.61504,0.557596,0.532073
0.0453,1.61504,0.56025,0.533223
0.0454,1.61504,0.562904,0.534373
0.0455,1.61504,0.565558,0.535523
0.0456,1.61504,0.568212,0.536673
0.0457,1.61504,0.570866,0.537823
0.0458,1.61504,0.57352,0.538973
0.0459,1.61504,0.576175,0.540123
0.046,1.61504,0.578829,0.541273
0.0461,1.61504,0.581483,0.542423
0.0462,1.61504,0.584137,0.543573
0.0463,1.61504,0.586791,0.544723
0.0464,1.61504,0.589445,0.545873
0.0465,1.61505,0.592099,0.547023
0.0466,1.61505,0.594754,0.548173
0.0467,1.61505,0.597408,0.549323
0.0468,1.61505,0.600062,0.550473
0.0469,1.61505,0.602716,0.551623
0.047,1.61505,0.60537,0.552773
0.0471,1.61505,0.608024,0.553923
0.0472,1.61505,0.610678,0.555073
0.0473,1.61505,0.613332,0.556223
0.0474,1.61505,0.615987,0.557373
0.0475,1.61505,0.618641,0.558523
0.0476,1.61505,0.621295,0.559673
0.0477,1.61505,0.623949,0.560823
0.0478,1.61505,0.626603,0.561973
0.0479,1.61506,0.629257,0.563123
0.048,1.61506,0.631911,0.564273
0.0481,1.61506,0.634565,0.565423
0.0482,1.61506,0.63722,0.566573
0.0483,1.61506,0.639874,0.567723
0.0484,1.61506,0.642528,0.568873
0.0485,1.61506,0.645182,0.570023
0.0486,1.61506,0.647836,0.571173
0.0487,1.61506,0.65049,0.572323
0.0488,1.61506,0.653144,0.573473
0.0489,1.61506,0.655799,0.574623
0.049,1.61506,0.658453,0.575773
0.0491,1.61506,0.661107,0.576923
0.0492,1.61507,0.663761,0.578072
0.0493,1.61507,0.666415,0.579222
0.0494,1.61507,0.669069,0.580372
0.0495,1.61507,0.671723,0.581522
0.0496,1.61507,0.674377,0.582672
0.0497,1.61507,0.677032,0.583822
0.0498,1.61507,0.679686,0.584972
0.0499,1.61507,0.68234,0.586122
0.05,1.61507,0.684994,0.587272
0.0501,1.61507,0.687578,0.588364
0.0502,1.61508,0.690162,0.589456
0.0503,1.61508,0.692746,0.590548
0.0504,1.61508,0.69533,0.591639
0.0505,1.61508,0.697914,0.592731
0.0506,1.61508,0.700498,0.593823
0.0507,1.61508,0.703082,0.594915
0.0508,1.61508,0.705665,0.596006
0.0509,1.61508,0.708249,0.597098
0.051,1.61508,0.710833,0.59819
0.0511,1.61508,0.713417,0.599282
0.0512,1.61508,0.716001,0.600373
0.0513,1.61508,0.718585,0.601465
0.0514,1.61508,0.721169,0.602557
0.0515,1.61508,0.723753,0.603649
0.0516,1.61509,0.726337,0.60474
0.0517,1.61509,0.728921,0.605832
0.0518,1.61509,0.731505,0.606924
0.0519,1.61509,0.734089,0.608015
0.052,1.61509,0.736673,0.609107
0.0521,1.61509,0.739257,0.610199
0.0522,1.61509,0.741841,0.611291
0.0523,1.61509,0.744424,0.612382
0.0524,1.61509,0.747008,0.613474
0.0525,1.61509,0.749592,0.614566
0.0526,1.61509,0.752176,0.615658
0.0527,1.61509,0.75476,0.616749
0.0528,1.61509,0.757344,0.617841
0.0529,1.6151,0.759928,0.618933
0.053,1.6151,0.762512,0.620025
0.0531,1.6151,0.765096,0.621116
0.0532,1.6151,0.76768,0.622208
0.0533,1.6151,0.770264,0.6233
0.0534,1.6151,0.772848,0.624392
0.0535,1.6151,0.775432,0.625483
0.0536,1.6151,0.778016,0.626575
0.0537,1.6151,0.7806,0.627667
0.0538,1.6151,0.783184,0.628759
