"time","wallTime","wc2.P.x [m]","wc2.P.v [m/s]","wc2.P.F [N]","wc1.P.x [m]","wc1.P.v [m/s]","wc1.P.F [N]"
0.0426,1.63048,0,0,0,0,0,0
0.0427,1.63049,0,0,0,0,0,0
0.0428,1.6305,0,0,0,0,0,0
0.0429,1.63051,0,0,0,0,0,0
0.043,1.63053,0,0,0,0,0,0
0.0431,1.63053,0,0,0,0,0,0
0.0432,1.63054,0,0,0,0,0,0
0.0433,1.63055,0,0,0,0,0,0
0.0434,1.63056,0,0,0,0,0,0
0.0435,1.63057,0,0,0,0,0,0
0.0436,1.63058,0,0,0,0,0,0
0.0437,1.6306,0,0,0,0,0,0
0.0438,1.6306,0,0,0,0,0,0
0.0439,1.63061,0,0,0,0,0,0
0.044,1.63063,0,0,0,0,0,0
0.0441,1.63063,0,0,0,0,0,0
0.0442,1.63064,0,0,0,0,0,0
0.0443,1.63065,0,0,0,0,0,0
0.0444,1.63066,0,0,0,0,0,0
0.0445,1.63068,0,0,0,0,0,0
0.0446,1.63069,0,0,0,0,0,0
0.0447,1.6307,0,0,0,0,0,0
0.0448,1.63071,0,0,0,0,0,0
0.0449,1.63072,0,0,0,0,0,0
0.045,1.63073,0,0,0,0,0,0
0.0451,1.63074,0,0,0,0,0,0
0.0452,1.63075,0,0,0,0,0,0
0.0453,1.63076,0,0,0,0,0,0
0.0454,1.63077,0,0,0,0,0,0
0.0455,1.63079,0,0,0,0,0,0
0.0456,1.6308,0,0,0,0,0,0
0.0457,1.63081,0,0,0,0,0,0
0.0458,1.63082,0,0,0,0,0,0
0.0459,1.63083,0,0,0,0,0,0
0.046,1.63085,0,0,0,0,0,0
0.0461,1.63086,0,0,0,0,0,0
0.0462,1.63086,0,0,0,0,0,0
0.0463,1.63088,0,0,0,0,0,0
0.0464,1.63088,0,0,0,0,0,0
0.0465,1.6309,0,0,0,0,0,0
0.0466,1.63091,0,0,0,0,0,0
0.0467,1.63092,0,0,0,0,0,0
0.0468,1.63093,0,0,0,0,0,0
0.0469,1.63093,0,0,0,0,0,0
0.047,1.63095,0,0,0,0,0,0
0.0471,1.63096,0,0,0,0,0,0
0.0472,1.63097,0,0,0,0,0,0
0.0473,1.63098,0,0,0,0,0,0
0.0474,1.63099,0,0,0,0,0,0
0.0475,1.63101,0,0,0,0,0,0
0.0476,1.63102,0,0,0,0,0,0
0.0477,1.63103,0,0,0,0,0,0
0.0478,1.63103,0,0,0,0,0,0
0.0479,1.63104,0,0,0,0,0,0
0.048,1.63106,0,0,0,0,0,0
0.0481,1.63107,0,0,0,0,0,0
0.0482,1.63108,0,0,0,0,0,0
0.0483,1.63109,0,0,0,0,0,0
0.0484,1.6311,0,0,0,0,0,0
0.0485,1.63111,0,0,0,0,0,0
0.0486,1.63112,0,0,0,0,0,0
0.0487,1.63114,0,0,0,0,0,0
0.0488,1.63114,0,0,0,0,0,0
0.0489,1.63115,0,0,0,0,0,0
0.049,1.63117,0,0,0,0,0,0
0.0491,1.63118,0,0,0,0,0,0
0.0492,1.6312,0,0,0,0,0,0
0.0493,1.63121,0,0,0,0,0,0
0.0494,1.63121,0,0,0,0,0,0
0.0495,1.63123,0,0,0,0,0,0
0.0496,1.63124,0,0,0,0,0,0
0.0497,1.63125,0,0,0,0,0,0
0.0498,1.63126,0,0,0,0,0,0
0.0499,1.63126,0,0,0,0,0,0
0.05,1.63129,0,0,0,0,0,0
0.0501,1.63129,0,0,0,0,0,0
0.0502,1.6313,0,0,0,0,0,0
0.0503,1.63131,0,0,0,0,0,0
0.0504,1.63132,0,0,0,0,0,0
0.0505,1.63133,0,0,0,0,0,0
0.0506,1.63134,0,0,0,0,0,0
0.0507,1.63135,0,0,0,0,0,0
0.0508,1.63136,0,0,0,0,0,0
0.0509,1.63137,0,0,0,0,0,0
0.051,1.63139,0,0,0,0,0,0
0.0511,1.6314,0,0,0,0,0,0
0.0512,1.63141,0,0,0,0,0,0
0.0513,1.63142,0,0,0,0,0,0
0.0514,1.63143,0,0,0,0,0,0
0.0515,1.63144,0,0,0,0,0,0
0.0516,1.63145,0,0,0,0,0,0
0.0517,1.63146,0,0,0,0,0,0
0.0518,1.63147,0,0,0,0,0,0
0.0519,1.63148,0,0,0,0,0,0
0.052,1.63149,0,0,0,0,0,0
0.0521,1.63151,0,0,0,0,0,0
0.0522,1.63152,0,0,0,0,0,0
0.0523,1.63153,0,0,0,0,0,0
0.0524,1.63153,0,0,0,0,0,0
0.0525,1.63155,0,0,0,0,0,0
0.0526,1.63156,0,0,0,0,0,0
0.0527,1.63157,0,0,0,0,0,0
0.0528,1.63158,0,0,0,0,0,0
0.0529,1.63159,0,0,0,0,0,0
0.053,1.63161,0,0,0,0,0,0
0.0531,1.63162,0,0,0,0,0,0
0.0532,1.63163,0,0,0,0,0,0
0.0533,1.63164,0,0,0,0,0,0
0.0534,1.63164,0,0,0,0,0,0
0.0535,1.63166,0,0,0,0,0,0
0.0536,1.63167,0,0,0,0,0,0
0.0537,1.63168,0,0,0,0,0,0
0.0538,1.63169,0,0,0,0,0,0
0.0539,1.6317,0,0,0,0,0,0
0.054,1.63171,0,0,0,0,0,0
0.0541,1.63172,0,0,0,0,0,0
0.0542,1.63173,0,0,0,0,0,0
0.0543,1.63174,0,0,0,0,0,0
0.0544,1.63174,0,0,0,0,0,0
0.0545,1.63176,0,0,0,0,0,0
0.0546,1.63177,0,0,0,0,0,0
0.0547,1.63178,0,0,0,0,0,0
0.0548,1.63179,0,0,0,0,0,0
0.0549,1.6318,0,0,0,0,0,0
0.055,1.63181,0,0,0,0,0,0
0.0551,1.63182,0,0,0,0,0,0
0.0552,1.63183,0,0,0,0,0,0
0.0553,1.63184,0,0,0,0,0,0
0.0554,1.63185,0,0,0,0,0,0
0.0555,1.63186,0,0,0,0,0,0
0.0556,1.63189,0,0,0,0,0,0
0.0557,1.6319,0,0,0,0,0,0
0.0558,1.63191,0,0,0,0,0,0
0.0559,1.63192,0,0,0,0,0,0
0.056,1.63194,0,0,0,0,0,0
0.0561,1.63194,0,0,0,0,0,0
0.0562,1.63195,0,0,0,0,0,0
0.0563,1.63196,0,0,0,0,0,0
0.0564,1.63197,0,0,0,0,0,0
0.0565,1.63198,0,0,0,0,0,0
0.0566,1.632,0,0,0,0,0,0
0.0567,1.63201,0,0,0,0,0,0
0.0568,1.63201,0,0,0,0,0,0
0.0569,1.63202,0,0,0,0,0,0
0.057,1.63204,0,0,0,0,0,0
0.0571,1.63205,0,0,0,0,0,0
0.0572,1.63206,0,0,0,0,0,0
0.0573,1.63207,0,0,0,0,0,0
0.0574,1.63211,0,0,0,0,0,0
0.0575,1.63212,0,0,0,0,0,0
0.0576,1.63213,0,0,0,0,0,0
0.0577,1.63214,0,0,0,0,0,0
0.0578,1.63215,0,0,0,0,0,0
0.0579,1.63216,0,0,0,0,0,0
0.058,1.63217,0,0,0,0,0,0
0.0581,1.63218,0,0,0,0,0,0
0.0582,1.6322,0,0,0,0,0,0
0.0583,1.63221,0,0,0,0,0,0
0.0584,1.63222,0,0,0,0,0,0
0.0585,1.63223,0,0,0,0,0,0
0.0586,1.63224,0,0,0,0,0,0
0.0587,1.63224,0,0,0,0,0,0
0.0588,1.63226,0,0,0,0,0,0
0.0589,1.63227,0,0,0,0,0,0
0.059,1.63228,0,0,0,0,0,0
0.0591,1.63229,0,0,0,0,0,0
0.0592,1.6323,0,0,0,0,0,0
0.0593,1.63231,0,0,0,0,0,0
0.0594,1.63232,0,0,0,0,0,0
0.0595,1.63233,0,0,0,0,0,0
0.0596,1.63234,0,0,0,0,0,0
0.0597,1.63235,0,0,0,0,0,0
0.0598,1.63235,0,0,0,0,0,0
0.0599,1.63236,0,0,0,0,0,0
0.06,1.63238,0,0,0,0,0,0
0.0601,1.63239,0,0,0,0,0,0
0.0602,1.6324,0,0,0,0,0,0
0.0603,1.63241,0,0,0,0,0,0
0.0604,1.63241,0,0,0,0,0,0
0.0605,1.63243,0,0,0,0,0,0
0.0606,1.63244,0,0,0,0,0,0
0.0607,1.63245,0,0,0,0,0,0
